display_name,business_name,twitter
#222,#222,
Abstrak Cuisine,"Abstrak Cuisine, LLC",AbstrakC
Abunai,Abunai LLC,
Adil Ouinaksi,Adil Ouinaksi,
Ali Baba Mediterranean Grill,Ali Baba,
Ali Baba Mediterranean Grill,Alibaba Pattey Melt,
American & Mediterranean Food,American & Mediterranean Food,
Anabels Mobile Kitchen,Anabels Mobile Kitchen LLC,anabelsmobilek1
Arepa Crew,Arepa Crew,ArepaCrew
Astro Doughnuts & Fried Chicken,Astro Doughnuts & Fired Chicken,astrodoughnuts
Atef Mahran,Atef Mahran,
Awesome Pho,Awesome Pho,
Ball Or Nothing,Ball Or Nothing,theballtruck
Basil Thyme,Basil Thyme By Sam,BasilThymeDC
BBQ Bus,BBQ Bus,bbqbusdc
Best Mexican Burritos & Dominican,Best Mexican Burritos & Dominican,
Best Taste,Best Taste,
Cache Cuisine,Cache Cuisine,
Cajunators,Cajunators,
California Taco,California Taco,
Campfire / Charrito Chilli,"Campfire, Charrito Chilli",
Capital Philly Steak,Capital Philly Steak,
Capital Street Food,Capital Street Food,
CapMac,Capmac LLC,CapMacDC
Captain Cookie,Captain Cookies & The Milk Man,captaincookiedc
Carnivore BBQ,Carnivore BBQ,
Chef Alex / Strictly Chicken,Chef Alex/ Strictly Chicken,
Chicken Friendly,Chicken Friendly,
City Best Kabob,City Best Kabob,
Cluck Truck,Cluck Truck,
Come Chop DC,Come Chop DC,
Comida Latina,Comida Latina,
Curry House,Curry House,
D & L Caribbean Cuisine,D & L Caribbean Cuisine LLC,
D.C. Philly's Best Cheesesteak,D.C. Philly's Best Cheesesteak,
Dangerously Delicious Pies,Dangerously Delicious DC LLC,
DC Ballers,,DcBallers
DC Ballers / Roaming Rooster / Rollin Pizza,"DC Ballers, Roaming Rooster, Rollin Pizza",
DC Best Kabob,DC Best Kabob,
DC Billy Cheese Steaks,DC Billy Cheese Steaks,
"DC Bites, Halal Grill","Dc Bites, Halal Grill",
DC Chicken House / DC Senor Latino Grill,"DC Chicken House, DC Senor Latino Grill",
DC Doner,DC Doner,
DC Greek Food,DC Greek Food,
DC Kalvera,DC Kalvera,
DC Pollo / Taco Matadores,"DC Pollo, DC Pollo #2,3,4 Taco Matadores 1&2",
DC Rollin Pizza,DC Rollin Pizza,
DC Slices,DC Slices,dcslices
DC Street Food,DC Street Food,
DC Taco Truck,DC Taco Trk LLC,dctacotruck
DC Tropic Burger,DC Tropic Burger,
Dhaba Meals On Wheels,Dhaba Meals On Wheels,
Dosi Rock,Dosi Rock,
Downtown Chicken,Downtown Chicken,
El Tipico,El Tipico,
Elmostafa Berlghazi,Elmostafa Berlghazi,
Falafel Wbas,Falafel Wbas,
Far East Taco Grille,Far East Taco Grille,
Farida Abou Draa,Farida Abou Draa,
Fast And Saucy,Fast And Saucy,
Fast Feast,"Fast Feast, LLC",
Federal City Brothers,Federal City Brothers,FedCityBros
Fly Pizza,Fly Pizza,
Fresh Afghan Cuisine,Fresh Afghan Cuisine,
The Friendly,Friendly (The),
From Scratch,From Scratch Lc,
Genie,Genie,
Gloria's Cuisine,Glorias Cuisine,
Gourmet Trucks International,Gourmet Trucks International,
Green Eagle,Green Eagle,
Halal Grill,Halal Grill,
Hangry Panda,Hangrypanda LLC,
Hardys BBQ,Hardys BBQ,
Healthy Fool / Broken Rice,"Healthy Fool, Broken Rice",
Hibachi Express On Wheels / DC Steak And Fried Chicken / DC Philly Mikes Steak,Hibachi Express On Wheels/ DC Steak And Fried Chicken,
Hibachi Express On Wheels / DC Steak And Fried Chicken / DC Philly Mikes Steak,"Hibachi Express On Wheels/ DC Steak And Fried Chicken,DC Philly 
Mikes Steak",
Himalayan Soul Foods,Himalayan Soul Foods LLC,
Holy Moly Hummus / District Falafel,"Holy Moly Hummus, District Falafel",
Hunger Station,Hunger Station,
Hungry Heart,Hungry Heart LLC,
Italian Subs,Italian Subs,
Jamaican Country Kitchen,Jamaican Country Kitchen LLC,
Java Cove,Java Cove Inc,
Brooklyn Sandwich Co,Jewish Gw,bklynsandwichco
Joebi & Joebi Foods,Joebi & Joebi Foods LLC,
Kabobish,Kabobish,
Kaya's Pizza,Kaya's Pizza,
KBBQbox,KBBQbox,dckbbqbox
Killer  Tomato,Killer  Tomato L.L.C.,killertpizza
Koris Flavor Mix,Koris Flavor Mix LLC,
Kraving,Kraving,
Kromom Konbey,Kromom Konbey,
Kromom Konbey,Kromom Konbey Ii,
La Fondita Mexican Food,La Fondita Mexican Food,
Lil Mack's Barbeque,Lil Mack's Barbeque Llc,
Loli's,Loli's LLC,
Luvplates Soul & Grill,Luvplates Soul & Grill,
Master Chef Touch,Master Chef Touch,
Med Gourmet,Med Gourmet,
Medi Cuisine,Medi Cuisine,
Mediterranean Cusine,Mediterranean Cusine,
Mexicano Square,Mexicano Square,
Midnite Confections,Midnite Confections,
Miso Honey,,MisoHoneyTruck
Mola Curry House,Mola Curry House,molacurryhouse
Mouhamed Moustafa,Mouhamed Moustafa,
Mr Catering,Mr Catering LLC,
Mr Jalapeno,Mr Jalapeno LLC,
Mr. Arepas,Mr. Arepas LLC,
Mr. Creamer's,"Mr. Creamer's, DD-S",
Mr. Fenny's Ice Cream,Mr. Fenny's Ice Cream LLC,
New Philadephia Cheesesteak,New Philadephia Cheesesteak,
New York Gyro,New York Gyro,
New York Steak House,New York Steak House,
Nueva Era,Nueva Era Food Truck LLC,
Ooh Dat Chicken,Ooh Dat Chicken LLC.,
Pakos Takos Grill,Pakos Takos Grill,
Pamino Mexican Grill / Mr. Hibachi,Pamino Mexican Grill/Mr. Hibachi,
Papa Adam,Papa Adam,
Pars Kabob,Pars Kabob,parskabob
Pepe,Pepe,
Peruvian Brothers,"Peruvian Brothers, LLC",
Philadelphia Steak House / California Chicken,"Philadelphia Steak House,California Chicken",perubrothers
PhoWheels,Phowheels,PhoWheels
PHO JUNKIES,,phojunkies
Popped! Republic,,PoppedRepublic
Punjabi Dhaba,Punjabi Dhaba,
Quick Bite,Quick Bite,
Quickfix / Chick N Express,"Quickfix, Chick N Express",
Rebecca Ethiopian Cuisine,Rebecca Cuisine Inc,
Red Hook Lobster Pound,Red Hook Lobster Pound,
Roaming Rooster,,roamingrooster1
Rocking Soul Spice Grill,Rocking Soul Spice Grill,
Rollin Pizza,,rollinpizzadc
Royal Chicken & Gyro,Royal Chicken & Gyro,
Royal Kabob Express,Royal Kabob Express,
S&B Brothers,"S&B Brothers, LLC",
Saffron Bite And Beer,Saffron Bite And Beer,
Saffron Food Lovers,Saffron Food Lovers,
Saran Indian Cuisine,Saran Indian Cuisine,
"Sate, Sambal","Sate, Sambal",
Seafood Subs & Sides,Seafood Subs & Sides LLC,
Senor Latino Grill / DC-Chicken-Fil-A,"Senor Latino Grill, DC-Chicken-Fil-A",
Shereen's Kitchen,Shereen's Kitchen,
